City_ID,City,Country,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude,Date
83,axim,GH,85.86,67,76,7.18,4.8699,-2.2405,1647859807
84,airai,TL,61.77,94,100,1.25,-8.9266,125.4092,1647859808
85,opuwo,NA,86.86,39,51,9.42,-18.0607,13.84,1647859808
86,tiksi,RU,-12.82,96,27,1.97,71.6872,128.8694,1647859809
87,chuy,UY,65.41,52,81,12.01,-33.6971,-53.4616,1647859810
88,east london,ZA,79.74,69,0,13.8,-33.0153,27.9116,1647859811
89,phan thiet,VN,80.78,79,96,8.79,10.9333,108.1,1647859643
90,tiarei,PF,78.82,76,15,18.97,-17.5333,-149.3333,1647859812
91,kahului,US,73.85,84,100,4.61,20.8947,-156.47,1647859813
92,lamballe,FR,61.0,73,21,1.99,48.4676,-2.5144,1647859814
93,banda aceh,ID,83.73,76,93,12.82,5.5577,95.3222,1647859815
94,baykit,RU,23.07,92,100,7.87,61.67,96.37,1647859815
95,atuona,PF,78.31,81,66,16.49,-9.8,-139.0333,1647859816
96,bambous virieux,MU,87.22,83,40,6.91,-20.3428,57.7575,1647859817
97,pushkino,RU,50.29,72,16,10.98,56.0172,37.8667,1647859818
98,dunedin,NZ,58.8,93,100,7.0,-45.8742,170.5036,1647859819
99,praia da vitoria,PT,53.76,87,40,18.05,38.7333,-27.0667,1647859820
100,moche,PE,64.58,94,100,4.61,-8.1711,-79.0092,1647859821
101,geraldton,AU,73.81,73,0,20.71,-28.7667,114.6,1647859821
102,castro,BR,58.93,88,99,8.48,-24.7911,-50.0119,1647859822
103,beringovskiy,RU,22.12,96,100,8.79,63.05,179.3167,1647859823
104,namibe,AO,83.21,57,69,7.34,-15.1961,12.1522,1647859825
105,prince rupert,CA,44.29,93,100,25.32,54.3161,-130.3201,1647859826
106,barber,CW,76.98,78,20,13.8,12.2833,-69.0667,1647859826
107,hermanus,ZA,87.8,62,2,14.03,-34.4187,19.2345,1647859827
108,pangnirtung,CA,-14.98,68,70,5.48,66.1451,-65.7125,1647859829
109,eydhafushi,MV,83.53,66,1,13.85,5.1033,73.0708,1647859829
110,vaini,TO,78.96,89,100,5.75,-21.2,-175.2,1647859830
111,lebu,CL,54.84,91,52,0.89,-37.6167,-73.65,1647859831
112,poronaysk,RU,17.11,84,71,10.13,49.2167,143.1167,1647859832
113,juneau,US,35.22,94,100,0.0,58.3019,-134.4197,1647859832
114,comodoro rivadavia,AR,58.86,63,0,5.75,-45.8667,-67.5,1647859599
115,bogomila,MK,44.78,37,16,10.2,41.5931,21.4717,1647859834
116,myaundzha,RU,10.36,83,100,8.28,63.0494,147.1858,1647859835
117,masaka,UG,83.57,41,87,13.27,-0.3338,31.7341,1647859835
118,balakhta,RU,26.1,81,70,6.08,55.38,91.6,1647859836
119,buraydah,SA,77.45,20,0,6.82,26.326,43.975,1647859837
120,norsup,VU,79.74,83,100,3.58,-16.0667,167.3833,1647859838
121,port-gentil,GA,85.96,74,40,9.22,-0.7193,8.7815,1647859839
122,hasaki,JP,45.28,55,47,11.03,35.7333,140.8333,1647859840
123,ugoofaaru,MV,83.61,65,3,13.85,5.6667,73.0,1647859841
